South,Married,WaffleHouses,MedianAgeMarriage,Population,WaffleHouses_n
1,1,1,25.3,4.78,128
0,1,0,25.2,0.71,0
0,1,1,25.8,6.33,18
1,0,1,24.3,2.92,41
0,0,0,26.8,37.25,0
0,0,1,25.7,5.03,11
0,0,0,27.6,3.57,0
0,0,1,26.6,0.9,3
0,1,0,29.7,0.6,0
1,1,1,26.4,18.8,133
1,1,1,25.9,9.69,381
0,1,0,26.9,1.36,0
0,0,0,23.2,1.57,0
0,1,1,27,12.83,2
0,0,1,25.7,6.48,17
0,1,0,25.4,3.05,0
0,1,1,25,2.85,6
1,1,1,24.8,4.34,64
1,0,1,25.9,4.53,66
0,1,0,26.4,1.33,0
0,0,1,27.3,5.77,11
0,1,0,28.5,6.55,0
0,1,0,26.4,9.88,0
0,1,0,26.3,5.3,0
1,1,1,25.8,2.97,72
1,0,1,25.6,5.99,39
0,0,0,25.7,0.99,0
0,0,0,25.4,1.83,0
0,0,0,26.8,1.32,0
0,0,0,27.7,8.79,0
0,0,1,25.8,2.06,2
0,1,0,28.4,19.38,0
1,0,1,25.7,9.54,142
0,1,0,25.3,0.67,0
0,0,1,26.3,11.54,64
0,0,1,24.4,3.75,16
0,0,0,26,3.83,0
0,0,1,27.1,12.7,11
0,0,0,28.2,1.05,0
1,1,1,26.4,4.63,144
0,1,0,25.6,0.81,0
1,0,1,25.2,6.35,103
1,1,1,25.2,25.15,99
0,1,0,23.3,2.76,0
0,0,0,26.9,0.63,0
1,0,1,26.4,8,40
0,0,0,25.9,6.72,0
1,0,1,25,1.85,4
0,0,0,26.3,5.69,0
0,0,0,24.2,0.56,0
